what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1593514433882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593514438732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593514439578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593514442916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593514444232
jar,m2e.packaging,org.eclipse.m2e.core,1.0.200,"jar",1593514455319
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-clean-plugin:3.1.0",1593514455319
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-resources-plugin:3.1.0",1593514455319
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-compiler-plugin:3.8.1",1593514455319
testResources:default-testResources:process-test-resources,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-resources-plugin:3.1.0",1593514455319
testCompile:default-testCompile:test-compile,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-compiler-plugin:3.8.1",1593514455319
test:default-test:test,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-surefire-plugin:2.22.2",1593514455319
jar:default-jar:package,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-jar-plugin:3.2.0",1593514455319
repackage:repackage:package,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.springframework.boot:spring-boot-maven-plugin:2.3.1.RELEASE",1593514455319
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-install-plugin:2.5.2",1593514455319
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-deploy-plugin:2.8.2",1593514455319
site:default-site:site,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-site-plugin:2.0.1",1593514455319
