what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334036057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334355465
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1593334358380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334360793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334364126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593334377124
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1593334380844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334384370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334386811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334387593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334410365
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1593334419635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1593334420762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1593334423848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1593334426247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593334439525
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1593334443831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334449626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334449863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334450085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334467775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334468054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593334468102
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1593334475601
